Date,mean_temperature,mean_humidity,mean_wind.speed,mean_visibility,mean_dew.point.temperature,mean_solar_radiation,max_solar_radiation,mean_Rainfall,max_Rainfall,mean_Snowfall,max_snowfall,nbre_location
2017-12-01,-2.45416666666667,45.875,1.5375,1870.75,-13.5458333333333,0.24875,1.16,0,0,0,0,9585
2017-12-02,1.54782608695652,61.2173913043478,1.7,1484.30434782609,-5.66521739130435,0.275217391304348,1.12,0,0,0,0,8571
2017-12-03,5.01818181818182,80.6818181818182,1.62272727272727,480.818181818182,1.88181818181818,0.135909090909091,0.69,0.0681818181818182,1,0,0,7270
2017-12-04,-0.3,52.9090909090909,3.4,1352.45454545455,-9.80909090909091,0.258636363636364,1.17,0.00454545454545455,0.1,0,0,8777
2017-12-05,-4.285,36.5,1.075,1953.4,-17.25,0.043,0.64,0,0,0,0,8355
2017-12-06,0.629411764705882,70,0.823529411764706,1196.29411764706,-4.92352941176471,0.242352941176471,1.1,0.0705882352941176,0.7,0.388235294117647,1,6717
2017-12-07,1.05652173913043,66.5217391304348,1.70434782608696,981.217391304348,-5.25217391304348,0.254347826086956,1.14,0,0,0.41304347826087,0.9,8597
2017-12-08,-3.825,41.75,1.85,1872.20833333333,-15.3666666666667,0.287083333333333,1.22,0,0,0,0,8080
2017-12-09,-0.845833333333333,46,1.07916666666667,1860.95833333333,-11.2333333333333,0.263333333333333,1.13,0,0,0,0,7281
2017-12-10,1.23478260869565,70.4782608695652,2.06086956521739,1013.34782608696,-3.83913043478261,0.0904347826086957,0.65,0.178260869565217,2.5,1.41304347826087,4.3,3501
2017-12-11,-6.28260869565217,39.3913043478261,3.63913043478261,1991.69565217391,-18,0.304782608695652,1.26,0,0,0,0,5896
2017-12-12,-9.46666666666667,42.7916666666667,2.03333333333333,1966.79166666667,-19.9375,0.283333333333333,1.22,0,0,0,0,5544
2017-12-13,-8.52272727272727,40.9090909090909,1.84090909090909,1950.04545454545,-19.8818181818182,0.309545454545455,1.23,0,0,0,0,6067
2017-12-14,-6.42380952380952,41.6666666666667,0.928571428571429,1581.33333333333,-17.6142857142857,0.176190476190476,0.65,0,0,0,0,6446
2017-12-15,-3.27916666666667,50.4583333333333,0.983333333333333,1000.20833333333,-12.325,0.100416666666667,0.42,0,0,0,0,7246
2017-12-16,-5.32857142857143,46.4761904761905,2.96190476190476,1513.80952380952,-15.9809523809524,0.263809523809524,1.12,0,0,0,0,4680
2017-12-17,-6.79047619047619,36.6666666666667,2.02857142857143,1988.61904761905,-19.3761904761905,0.31,1.14,0,0,0,0,3824
2017-12-18,-1.8695652173913,76.4782608695652,1.19130434782609,654.304347826087,-5.53913043478261,0.0721739130434783,0.6,0.0782608695652174,1.1,2.42173913043478,5.1,2668
